accuracies,precisions,recalls,f1_scores,fprs,fnrs,tps,tns,fps,fns,tss_list,hss_list
0.8268345102855389,0.6580829756795422,0.5859872611464968,0.6199460916442048,0.09668284789644013,0.4140127388535032,460,2233,239,325,0.4893044132500567,0.5083060355603569
0.835995085995086,0.676056338028169,0.6122448979591837,0.642570281124498,0.09304207119741101,0.3877551020408163,480,2242,230,304,0.5192028267617727,0.5364919449432499
0.8267813267813268,0.6575931232091691,0.5854591836734694,0.6194331983805668,0.09668284789644013,0.4145408163265306,459,2233,239,325,0.4887763357770293,0.5077943074752448
0.8387592137592138,0.6863309352517986,0.6084183673469388,0.6450304259634888,0.08818770226537216,0.39158163265306123,477,2254,218,307,0.5202306650815666,0.5412070864637034
0.8439803439803439,0.6965811965811965,0.6237244897959183,0.6581426648721398,0.08616504854368932,0.3762755102040816,489,2259,213,295,0.537559441252229,0.5574666638128465
0.8347665847665847,0.6814159292035398,0.5892857142857143,0.6320109439124486,0.08737864077669903,0.4107142857142857,462,2256,216,322,0.5019070735090153,0.5261973488897448
0.8442874692874693,0.6894664842681258,0.6428571428571429,0.6653465346534654,0.0918284789644013,0.35714285714285715,504,2245,227,280,0.5510286638927416,0.5640474173355108
0.8363022113022113,0.6853766617429837,0.5918367346938775,0.6351813826146475,0.08616504854368932,0.40816326530612246,464,2259,213,320,0.5056716861501882,0.530386309762196
0.8295454545454546,0.6633380884450785,0.5931122448979592,0.6262626262626263,0.09546925566343042,0.40688775510204084,465,2236,236,319,0.49764298923452877,0.5163051741010152
0.8375307125307125,0.6850507982583455,0.6020408163265306,0.6408689748811949,0.0877831715210356,0.3979591836734694,472,2255,217,312,0.514257644805495,0.53645145941477
